name,available,base_power,constant_active_power,constant_reactive_power,impedance_active_power,impedance_reactive_power,current_active_power,current_reactive_power,max_constant_active_power,max_constant_reactive_power,max_impedance_active_power,max_impedance_reactive_power,max_current_active_power,max_current_reactive_power
load_70002~WP,true,100.0,7.594000000000001,-1.397,0.0,0.0,0.0,0.0,7.594000000000001,-1.397,0.0,0.0,0.0,0.0
load_70004~WP,true,100.0,7.615999999999999,5.211,0.0,0.0,0.0,0.0,7.615999999999999,5.211,0.0,0.0,0.0,0.0
load_70008~P1,true,100.0,11.419,5.203,0.0,0.0,0.0,0.0,11.419,5.203,0.0,0.0,0.0,0.0
load_70009~YV,true,100.0,17.289,-2.04,0.0,0.0,0.0,0.0,17.289,-2.04,0.0,0.0,0.0,0.0
load_70019~WP,true,100.0,9.419,4.553,0.0,0.0,0.0,0.0,9.419,4.553,0.0,0.0,0.0,0.0
load_70023~P1,true,100.0,35.509,7.768,0.0,0.0,0.0,0.0,35.509,7.768,0.0,0.0,0.0,0.0
load_70023~P2,true,100.0,43.458,0.327,0.0,0.0,0.0,0.0,43.458,0.327,0.0,0.0,0.0,0.0
load_70024~P1,true,100.0,5.026,1.851,0.0,0.0,0.0,0.0,5.026,1.851,0.0,0.0,0.0,0.0
load_70025~P2,true,100.0,7.603999999999999,2.197,0.0,0.0,0.0,0.0,7.603999999999999,2.197,0.0,0.0,0.0,0.0
load_70025~P3,true,100.0,7.538,3.173,0.0,0.0,0.0,0.0,7.538,3.173,0.0,0.0,0.0,0.0
load_70028~TS,true,100.0,3.5699999999999994,1.11,0.0,0.0,0.0,0.0,3.5699999999999994,1.11,0.0,0.0,0.0,0.0
load_70029~P1,true,100.0,3.054,-1.273,0.0,0.0,0.0,0.0,3.054,-1.273,0.0,0.0,0.0,0.0
load_70029~P3,true,100.0,1.781,0.08,0.0,0.0,0.0,0.0,1.781,0.08,0.0,0.0,0.0,0.0
load_70030~WP,true,100.0,22.144,-2.383,0.0,0.0,0.0,0.0,22.144,-2.383,0.0,0.0,0.0,0.0
