plant,lat,lon
Bighorn_Solar_1_Existing,38.2075,-104.5967
Bison_Solar_Existing,40.8638,-105.0111
Clear_Spring_Ranch_Solar_Existing,38.6021,-104.695
Cogentrix_Alamosa_Solar_Existing,37.5986,-105.9521
Comanche_Solar_Existing,38.2053,-104.5667
Grazing_Yak_Solar_Existing,39.0355,-104.2972
Greater_Sandhill_1_Solar_Existing,37.68547,-105.8909
Hooper_Solar_Existing,37.6919,-105.9908
Palmer_Solar_Existing,38.6299,-104.6526
Pioneer_Solar_Existing,39.7616,-104.459
San_Isabel_Solar_Existing,37.371,-104.474
San_Luis_Valley_Solar_Existing,37.69454,-105.92762
SR_Jenkin_Lupton_Solar_Existing,40.0814,-104.747
SR_Platte_Solar_Existing,40.1817,-104.692
Sun_Mountain_Solar_Existing,38.2706,-104.6101
Titan_Solar_Existing,39.6865,-104.014
Victory_Solar_Existing,39.795,-104.433
Small_CO_Solar_Existing,39,-105.5
Spanish_Peaks_Solar_Planned,37.1695,-104.5005
Turkey_Creek_Solar_Planned,38.3821,-104.9141
Black_Hallow_Sun_Solar_Planned,40.6167,-104.8489
Coyote_Gulch_Solar_Planned,37.431,-108.724
Dolores_Canyon_Solar_Planned,37.705,-108.755
Hunter_Solar_Planned,39.6266,-104.465
Axial_Basin_Solar_Planned,40.3279,-107.7533
Mountain_Daisy_Solar_Planned,40.596,-108.846
Coyote_Gulch_Replacement_Solar_TSGT_Planned,37.431,-108.724
Front_Range_Midway_Solar_PSCO_Contract,38.5508,-104.757
Hartsel_Solar_PSCO_Contract,39.06042,-105.593516
Neptune_Solar_PSCO_Contract,38.3303,-104.4142
Sune_Alamosa_Solar_PSCO_Contract,37.6903,-105.881
Thunder_Wolf_Solar_PSCO_Contract,38.1899,-104.39804
BHE_Solar_Conceptual,39,-105.5
Rawhide_Prairie_Solar_Storage_Existing,40.858,-105.0156
Pike_Solar_Storage_Planned,38.6217,-104.5814
